,date,Yeezy,Off-White,Year,Week Number
0,2017-09-03,23,0,2017,35
1,2017-09-10,14,54,2017,36
2,2017-09-17,20,27,2017,37
3,2017-09-24,18,27,2017,38
4,2017-10-01,20,27,2017,39
5,2017-10-08,15,0,2017,40
6,2017-10-15,15,0,2017,41
7,2017-10-22,17,40,2017,42
8,2017-10-29,18,81,2017,43
9,2017-11-05,24,54,2017,44
10,2017-11-12,45,26,2017,45
11,2017-11-19,84,40,2017,46
12,2017-11-26,55,25,2017,47
13,2017-12-03,47,25,2017,48
14,2017-12-10,73,25,2017,49
15,2017-12-17,48,39,2017,50
16,2017-12-24,43,57,2017,51
17,2017-12-31,32,51,2017,52
18,2018-01-07,25,25,2018,1
19,2018-01-14,22,25,2018,2
20,2018-01-21,22,24,2018,3
21,2018-01-28,29,37,2018,4
22,2018-02-04,21,0,2018,5
23,2018-02-11,22,0,2018,6
24,2018-02-18,20,25,2018,7
25,2018-02-25,18,37,2018,8
26,2018-03-04,38,37,2018,9
27,2018-03-11,28,24,2018,10
28,2018-03-18,25,24,2018,11
29,2018-03-25,18,51,2018,12
30,2018-04-01,19,0,2018,13
31,2018-04-08,24,26,2018,14
32,2018-04-15,27,25,2018,15
33,2018-04-22,30,26,2018,16
34,2018-04-29,25,26,2018,17
35,2018-05-06,18,75,2018,18
36,2018-05-13,15,49,2018,19
37,2018-05-20,17,52,2018,20
38,2018-05-27,20,50,2018,21
39,2018-06-03,25,25,2018,22
40,2018-06-10,18,0,2018,23
41,2018-06-17,24,52,2018,24
42,2018-06-24,43,27,2018,25
43,2018-07-01,33,27,2018,26
44,2018-07-08,32,0,2018,27
45,2018-07-15,22,27,2018,28
46,2018-07-22,26,65,2018,29
47,2018-07-29,21,27,2018,30
48,2018-08-05,22,27,2018,31
49,2018-08-12,28,0,2018,32
50,2018-08-19,28,0,2018,33
51,2018-08-26,20,28,2018,34
52,2018-09-02,24,27,2018,35
53,2018-09-09,30,51,2018,36
54,2018-09-16,70,39,2018,37
55,2018-09-23,45,51,2018,38
56,2018-09-30,39,26,2018,39
57,2018-10-07,27,51,2018,40
58,2018-10-14,30,26,2018,41
59,2018-10-21,29,77,2018,42
60,2018-10-28,30,77,2018,43
61,2018-11-04,29,25,2018,44
62,2018-11-11,50,26,2018,45
63,2018-11-18,67,78,2018,46
64,2018-11-25,55,49,2018,47
65,2018-12-02,48,0,2018,48
66,2018-12-09,55,25,2018,49
67,2018-12-16,46,51,2018,50
68,2018-12-23,100,57,2018,51
69,2018-12-30,43,65,2018,52
70,2019-01-06,31,25,2019,1
71,2019-01-13,25,75,2019,2
72,2019-01-20,20,100,2019,3
73,2019-01-27,28,25,2019,4
74,2019-02-03,21,25,2019,5
75,2019-02-10,19,25,2019,6
76,2019-02-17,29,0,2019,7
