,date,Yeezy,Off-White,Year,Week Number
0,2017-09-03,17,71,2017,35
1,2017-09-10,15,48,2017,36
2,2017-09-17,17,25,2017,37
3,2017-09-24,15,30,2017,38
4,2017-10-01,14,55,2017,39
5,2017-10-08,17,19,2017,40
6,2017-10-15,14,44,2017,41
7,2017-10-22,15,74,2017,42
8,2017-10-29,15,20,2017,43
9,2017-11-05,19,60,2017,44
10,2017-11-12,43,56,2017,45
11,2017-11-19,70,54,2017,46
12,2017-11-26,50,44,2017,47
13,2017-12-03,41,50,2017,48
14,2017-12-10,66,29,2017,49
15,2017-12-17,40,62,2017,50
16,2017-12-24,35,24,2017,51
17,2017-12-31,23,51,2017,52
18,2018-01-07,19,45,2018,1
19,2018-01-14,19,46,2018,2
20,2018-01-21,18,30,2018,3
21,2018-01-28,22,40,2018,4
22,2018-02-04,17,38,2018,5
23,2018-02-11,21,30,2018,6
24,2018-02-18,19,31,2018,7
25,2018-02-25,19,39,2018,8
26,2018-03-04,37,56,2018,9
27,2018-03-11,24,60,2018,10
28,2018-03-18,22,66,2018,11
29,2018-03-25,18,51,2018,12
30,2018-04-01,19,56,2018,13
31,2018-04-08,29,45,2018,14
32,2018-04-15,26,49,2018,15
33,2018-04-22,25,40,2018,16
34,2018-04-29,21,30,2018,17
35,2018-05-06,20,44,2018,18
36,2018-05-13,16,30,2018,19
37,2018-05-20,17,47,2018,20
38,2018-05-27,17,71,2018,21
39,2018-06-03,21,60,2018,22
40,2018-06-10,22,60,2018,23
41,2018-06-17,21,77,2018,24
42,2018-06-24,41,74,2018,25
43,2018-07-01,39,60,2018,26
44,2018-07-08,34,43,2018,27
45,2018-07-15,23,59,2018,28
46,2018-07-22,25,74,2018,29
47,2018-07-29,21,100,2018,30
48,2018-08-05,24,52,2018,31
49,2018-08-12,23,31,2018,32
50,2018-08-19,26,39,2018,33
51,2018-08-26,22,81,2018,34
52,2018-09-02,25,31,2018,35
53,2018-09-09,38,20,2018,36
54,2018-09-16,69,35,2018,37
55,2018-09-23,48,46,2018,38
56,2018-09-30,35,70,2018,39
57,2018-10-07,28,86,2018,40
58,2018-10-14,27,46,2018,41
59,2018-10-21,41,46,2018,42
60,2018-10-28,37,41,2018,43
61,2018-11-04,34,44,2018,44
62,2018-11-11,55,25,2018,45
63,2018-11-18,62,81,2018,46
64,2018-11-25,54,43,2018,47
65,2018-12-02,41,53,2018,48
66,2018-12-09,53,43,2018,49
67,2018-12-16,47,58,2018,50
68,2018-12-23,100,52,2018,51
69,2018-12-30,40,31,2018,52
70,2019-01-06,32,35,2019,1
71,2019-01-13,26,41,2019,2
72,2019-01-20,23,27,2019,3
73,2019-01-27,21,36,2019,4
74,2019-02-03,19,42,2019,5
75,2019-02-10,23,36,2019,6
76,2019-02-17,30,54,2019,7
