,date,Yeezy,Off-White,Year,Week Number
0,2017-09-03,35,61,2017,35
1,2017-09-10,27,20,2017,36
2,2017-09-17,31,31,2017,37
3,2017-09-24,28,31,2017,38
4,2017-10-01,29,20,2017,39
5,2017-10-08,28,40,2017,40
6,2017-10-15,26,22,2017,41
7,2017-10-22,32,22,2017,42
8,2017-10-29,25,42,2017,43
9,2017-11-05,31,62,2017,44
10,2017-11-12,70,42,2017,45
11,2017-11-19,100,59,2017,46
12,2017-11-26,69,42,2017,47
13,2017-12-03,56,43,2017,48
14,2017-12-10,81,44,2017,49
15,2017-12-17,64,57,2017,50
16,2017-12-24,59,74,2017,51
17,2017-12-31,38,45,2017,52
18,2018-01-07,34,32,2018,1
19,2018-01-14,33,63,2018,2
20,2018-01-21,34,31,2018,3
21,2018-01-28,37,62,2018,4
22,2018-02-04,29,31,2018,5
23,2018-02-11,28,21,2018,6
24,2018-02-18,25,51,2018,7
25,2018-02-25,29,62,2018,8
26,2018-03-04,46,21,2018,9
27,2018-03-11,38,0,2018,10
28,2018-03-18,30,0,2018,11
29,2018-03-25,24,65,2018,12
30,2018-04-01,27,52,2018,13
31,2018-04-08,33,95,2018,14
32,2018-04-15,35,31,2018,15
33,2018-04-22,32,0,2018,16
34,2018-04-29,36,31,2018,17
35,2018-05-06,26,53,2018,18
36,2018-05-13,24,86,2018,19
37,2018-05-20,24,21,2018,20
38,2018-05-27,24,78,2018,21
39,2018-06-03,26,66,2018,22
40,2018-06-10,31,53,2018,23
41,2018-06-17,28,22,2018,24
42,2018-06-24,54,55,2018,25
43,2018-07-01,46,34,2018,26
44,2018-07-08,36,65,2018,27
45,2018-07-15,33,33,2018,28
46,2018-07-22,27,33,2018,29
47,2018-07-29,22,66,2018,30
48,2018-08-05,30,44,2018,31
49,2018-08-12,36,88,2018,32
50,2018-08-19,32,33,2018,33
51,2018-08-26,25,21,2018,34
52,2018-09-02,28,31,2018,35
53,2018-09-09,41,51,2018,36
54,2018-09-16,77,21,2018,37
55,2018-09-23,51,21,2018,38
56,2018-09-30,49,42,2018,39
57,2018-10-07,35,21,2018,40
58,2018-10-14,29,21,2018,41
59,2018-10-21,37,94,2018,42
60,2018-10-28,44,32,2018,43
61,2018-11-04,34,0,2018,44
62,2018-11-11,71,21,2018,45
63,2018-11-18,74,56,2018,46
64,2018-11-25,68,51,2018,47
65,2018-12-02,53,62,2018,48
66,2018-12-09,67,42,2018,49
67,2018-12-16,49,33,2018,50
68,2018-12-23,97,86,2018,51
69,2018-12-30,48,91,2018,52
70,2019-01-06,40,85,2019,1
71,2019-01-13,31,52,2019,2
72,2019-01-20,30,62,2019,3
73,2019-01-27,29,21,2019,4
74,2019-02-03,24,100,2019,5
75,2019-02-10,30,61,2019,6
76,2019-02-17,29,40,2019,7
