Category: All categories

Week,off-white: (United States)
2017-09-03,62
2017-09-10,48
2017-09-17,43
2017-09-24,58
2017-10-01,44
2017-10-08,33
2017-10-15,43
2017-10-22,55
2017-10-29,46
2017-11-05,78
2017-11-12,51
2017-11-19,86
2017-11-26,69
2017-12-03,58
2017-12-10,42
2017-12-17,64
2017-12-24,56
2017-12-31,51
2018-01-07,71
2018-01-14,49
2018-01-21,58
2018-01-28,48
2018-02-04,60
2018-02-11,46
2018-02-18,61
2018-02-25,78
2018-03-04,54
2018-03-11,39
2018-03-18,41
2018-03-25,89
2018-04-01,52
2018-04-08,54
2018-04-15,50
2018-04-22,52
2018-04-29,54
2018-05-06,81
2018-05-13,70
2018-05-20,79
2018-05-27,67
2018-06-03,70
2018-06-10,92
2018-06-17,80
2018-06-24,64
2018-07-01,54
2018-07-08,69
2018-07-15,54
2018-07-22,95
2018-07-29,73
2018-08-05,67
2018-08-12,43
2018-08-19,61
2018-08-26,61
2018-09-02,48
2018-09-09,52
2018-09-16,55
2018-09-23,67
2018-09-30,100
2018-10-07,93
2018-10-14,74
2018-10-21,61
2018-10-28,53
2018-11-04,61
2018-11-11,52
2018-11-18,85
2018-11-25,70
2018-12-02,62
2018-12-09,83
2018-12-16,92
2018-12-23,75
2018-12-30,70
2019-01-06,57
2019-01-13,74
2019-01-20,73
2019-01-27,59
2019-02-03,89
2019-02-10,64
